City/Town,Ward,Pct,"Barack Obama",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,50,2,0,0,52
Albany,,,14,0,0,0,14
Alburgh,,,152,5,0,0,157
Andover,,,27,0,1,0,28
Arlington,,,146,2,1,0,149
Athens,,,10,1,0,0,11
Bakersfield,,,94,3,4,0,101
Baltimore,,,10,0,0,0,10
Barnard,,,42,0,1,0,43
Barnet,,,50,2,0,0,52
"Barre City",,,384,7,16,0,407
"Barre Town",,,261,5,4,0,270
Barton,,,74,1,0,0,75
Belvidere,,,6,0,0,0,6
Bennington,,,947,13,20,0,980
Benson,,,61,2,1,0,64
Berkshire,,,42,0,0,0,42
Berlin,,,115,4,0,0,119
Bethel,,,66,0,0,0,66
Bloomfield,,,9,1,3,0,13
Bolton,,,55,0,1,0,56
Bradford,,,33,2,1,0,36
Braintree,,,52,1,0,0,53
Brandon,,,258,1,0,0,259
Brattleboro,,,932,28,8,0,968
Bridgewater,,,38,0,3,0,41
Bridport,,,74,3,3,0,80
Brighton,,,173,4,12,0,189
Bristol,,,281,1,1,0,283
Brookfield,,,65,0,2,0,67
Brookline,,,18,1,0,0,19
Brownington,,,12,0,0,0,12
Brunswick,,,13,0,0,0,13
Burke,,,83,0,0,0,83
Burlington,,,"4,326",68,23,0,"4,417"
Cabot,,,71,1,2,0,74
Calais,,,166,3,2,0,171
Cambridge,,,153,2,1,0,156
Canaan,,,79,2,3,0,84
Castleton,,,391,6,15,0,412
Cavendish,,,76,3,3,0,82
Charleston,,,27,2,0,0,29
Charlotte,,,410,4,7,0,421
Chelsea,,,32,0,0,0,32
Chester,,,250,8,3,0,261
Chittenden,,,110,1,1,0,112
Clarendon,,,82,1,0,0,83
Colchester,,,795,11,2,0,808
Concord,,,82,2,2,0,86
Corinth,,,112,5,0,0,117
Cornwall,,,119,2,0,0,121
Coventry,,,50,0,0,0,50
Craftsbury,,,37,0,0,0,37
Danby,,,41,1,0,0,42
Danville,,,67,4,0,0,71
Derby,,,251,5,4,0,260
Dorset,,,144,0,3,0,147
Dover,,,81,2,3,0,86
Dummerston,,,263,3,0,0,266
Duxbury,,,143,8,1,0,152
"E. Haven",,,18,1,1,0,20
"E. Montpelier",,,259,5,0,0,264
Eden,,,26,2,0,0,28
Elmore,,,13,0,0,0,13
Enosburgh,,,48,0,2,0,50
Essex,,,636,4,1,0,641
"Fair Haven",,,102,1,4,0,107
Fairfax,,,219,5,3,0,227
Fairfield,,,92,4,1,0,97
Fairlee,,,31,1,0,0,32
Fayston,,,60,2,0,0,62
Ferrisburgh,,,232,3,5,0,240
Fletcher,,,24,1,0,0,25
Franklin,,,34,1,1,0,36
Georgia,,,147,5,3,0,155
Glover,,,32,1,0,0,33
Goshen,,,37,1,1,0,39
Grafton,,,65,0,1,0,66
Granby,,,7,0,0,0,7
"Grand Isle",,,208,4,2,0,214
Granville,,,25,0,0,0,25
Greensboro,,,44,1,0,0,45
Groton,,,44,1,1,0,46
Guildhall,,,27,4,1,0,32
Guilford,,,215,5,1,0,221
Halifax,,,90,4,1,0,95
Hancock,,,5,1,0,0,6
Hardwick,,,201,4,8,0,213
