City/Town,Ward,Pct,"Thomas M. Salmon","Martha Abbott","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Progressive,"Liberty Union"
Addison,,,628,63,15,3,0,709
Albany,,,388,48,12,0,0,448
Alburgh,,,781,80,52,3,0,916
Andover,,,234,24,13,0,0,271
Arlington,,,"1,067",114,58,3,0,"1,242"
Athens,,,116,12,13,0,0,141
Bakersfield,,,476,89,25,3,0,593
Baltimore,,,96,8,13,1,0,118
Barnard,,,425,45,11,0,0,481
Barnet,,,786,66,26,2,0,880
"Barre City",-,"Washington 3-1","1,539",158,40,2,0,"1,739"
"Barre City",-,"Washington 3-2","1,243",139,47,0,0,"1,429"
"Barre City",-,"Washington 3-3",241,36,12,1,0,290
"Barre Town",,,"3,805",232,76,10,0,"4,123"
Barton,,,"1,042",88,40,1,0,"1,171"
Belvidere,,,126,16,5,2,0,149
Bennington,-,"Bennington 2-1","2,367",327,215,8,0,"2,917"
Bennington,-,"Bennington 2-2","2,401",347,234,1,0,"2,983"
Bennington,-,"Bennington 5",44,5,1,0,0,50
Benson,,,387,67,32,0,0,486
Berkshire,,,526,79,22,2,0,629
Berlin,,,"1,121",107,28,6,0,"1,262"
Bethel,,,752,127,46,1,0,926
Bloomfield,,,81,10,7,0,0,98
Bolton,,,450,113,10,0,0,573
Bradford,,,"1,020",91,44,0,0,"1,155"
Braintree,,,493,61,21,0,0,575
Brandon,,,"1,601",168,73,6,0,"1,848"
Brattleboro,-,"Windham 3-1","1,644",235,236,2,0,"2,117"
Brattleboro,-,"Windham 3-2","1,207",209,314,2,0,"1,732"
Brattleboro,-,"Windham 3-3","1,110",294,285,2,0,"1,691"
Bridgewater,,,404,55,14,0,0,473
Bridport,,,557,52,28,3,0,640
Brighton,,,481,53,29,2,0,565
Bristol,,,"1,566",269,44,4,0,"1,883"
Brookfield,,,564,68,18,0,0,650
Brookline,,,206,21,23,0,0,250
Brownington,,,322,39,16,1,0,378
Brunswick,,,42,7,2,0,0,51
Burke,,,677,42,19,0,0,738
Burlington,-,"Chittenden 3-1","3,093",489,68,10,0,"3,660"
Burlington,-,"Chittenden 3-2","1,582",413,41,1,0,"2,037"
Burlington,-,"Chittenden 3-3","2,167","1,182",166,27,0,"3,542"
Burlington,-,"Chittenden 3-4","2,000","1,154",138,36,0,"3,328"
Burlington,-,"Chittenden 3-5","3,205","1,039",132,11,0,"4,387"
Burlington,-,"Chittenden 3-6",425,143,21,4,0,593
Cabot,,,566,138,11,2,0,717
Calais,,,772,133,23,1,0,929
Cambridge,,,"1,352",318,38,4,0,"1,712"
Canaan,,,360,43,13,0,0,416
Castleton,,,"1,478",188,74,4,0,"1,744"
Cavendish,,,558,47,36,1,0,642
Charleston,,,378,46,16,0,0,440
Charlotte,,,"1,768",312,51,3,0,"2,134"
Chelsea,,,522,68,30,0,0,620
Chester,,,"1,351",138,79,1,0,"1,569"
Chittenden,,,602,41,19,1,0,663
Clarendon,,,"1,068",79,51,14,0,"1,212"
Colchester,-,"Chittenden 7-1","2,806",410,65,4,0,"3,285"
Colchester,-,"Chittenden 7-2","3,314",433,62,8,0,"3,817"
Concord,,,453,39,16,0,0,508
Corinth,,,504,74,26,2,0,606
Cornwall,,,604,49,6,0,0,659
Coventry,,,406,29,17,0,0,452
Craftsbury,,,514,99,10,3,0,626
Danby,,,552,101,23,1,0,677
Danville,,,"1,150",82,22,4,0,"1,258"
Derby,,,"1,939",138,56,6,0,"2,139"
Dorset,,,985,95,48,3,0,"1,131"
Dover,,,521,59,87,2,0,669
Dummerston,,,878,101,86,0,0,"1,065"
Duxbury,,,556,112,16,2,0,686
"E. Haven",,,118,18,5,0,0,141
"E. Montpelier",,,"1,303",175,33,9,0,"1,520"
Eden,,,370,69,22,0,0,461
Elmore,,,395,57,13,0,0,465
Enosburgh,,,951,131,46,1,0,"1,129"
Essex,-,"Chittenden 6-1","3,285",525,67,26,0,"3,903"
Essex,-,"Chittenden 6-2","3,758",561,92,23,0,"4,434"
Essex,-,"Chittenden 6-3","1,032",208,17,7,0,"1,264"
"Fair Haven",,,"1,025",98,59,1,0,"1,183"
Fairfax,,,"1,682",275,54,11,0,"2,022"
Fairfield,,,779,100,20,1,0,900
Fairlee,,,430,51,12,0,0,493
Fayston,,,601,84,14,0,0,699
Ferrisburgh,,,"1,212",150,74,3,0,"1,439"
Fletcher,,,503,88,16,0,0,607
Franklin,,,504,64,14,0,0,582
Georgia,,,"1,784",225,54,5,0,"2,068"
Glover,,,471,64,21,0,0,556
Goshen,,,92,23,4,0,0,119
Grafton,,,305,27,28,0,0,360
Granby,,,35,2,1,0,0,38
"Grand Isle",,,986,114,23,5,0,"1,128"
Granville,,,121,31,8,0,0,160
Greensboro,,,361,49,11,3,0,424
Groton,,,365,42,8,0,0,415
Guildhall,,,102,11,7,0,0,120
Guilford,,,845,113,131,0,0,"1,089"
