City/Town,Ward,Pct,"Jeb Spaulding","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Progressive,"Liberty Union"
Addison,,,682,33,8,1,0,724
Albany,,,411,34,11,1,0,457
Alburgh,,,868,50,19,0,0,937
Andover,,,251,21,3,0,0,275
Arlington,,,"1,147",86,26,1,0,"1,260"
Athens,,,108,25,4,0,0,137
Bakersfield,,,528,51,17,2,0,598
Baltimore,,,105,7,8,1,0,121
Barnard,,,432,24,48,0,0,504
Barnet,,,811,69,15,0,0,895
"Barre City",-,"Washington 3-1","1,689",69,20,4,0,"1,782"
"Barre City",-,"Washington 3-2","1,394",62,23,0,0,"1,479"
"Barre City",-,"Washington 3-3",279,8,8,0,0,295
"Barre Town",,,"4,061",124,38,7,0,"4,230"
Barton,,,"1,102",54,26,2,0,"1,184"
Belvidere,,,138,7,4,1,0,150
Bennington,-,"Bennington 2-1","2,613",267,150,6,0,"3,036"
Bennington,-,"Bennington 2-2","2,670",256,94,3,0,"3,023"
Bennington,-,"Bennington 5",46,7,0,0,0,53
Benson,,,439,44,11,0,0,494
Berkshire,,,599,33,7,0,0,639
Berlin,,,"1,236",56,21,1,0,"1,314"
Bethel,,,852,68,33,0,0,953
Bloomfield,,,89,3,6,0,0,98
Bolton,,,537,45,8,1,0,591
Bradford,,,"1,095",74,20,0,0,"1,189"
Braintree,,,539,36,17,0,0,592
Brandon,,,"1,779",81,41,3,0,"1,904"
Brattleboro,-,"Windham 3-1","1,819",235,59,4,0,"2,117"
Brattleboro,-,"Windham 3-2","1,395",241,83,2,0,"1,721"
Brattleboro,-,"Windham 3-3","1,301",306,65,1,0,"1,673"
Bridgewater,,,404,35,55,0,0,494
Bridport,,,606,34,17,2,0,659
Brighton,,,513,32,25,0,0,570
Bristol,,,"1,747",134,33,1,0,"1,915"
Brookfield,,,637,30,11,0,0,678
Brookline,,,233,25,6,0,0,264
Brownington,,,346,29,12,1,0,388
Brunswick,,,52,2,0,0,0,54
Burke,,,698,45,12,1,0,756
Burlington,-,"Chittenden 3-1","3,330",352,28,12,0,"3,722"
Burlington,-,"Chittenden 3-2","1,746",298,28,4,0,"2,076"
Burlington,-,"Chittenden 3-3","2,452","1,076",102,22,0,"3,652"
Burlington,-,"Chittenden 3-4","2,260","1,107",81,28,0,"3,476"
Burlington,-,"Chittenden 3-5","3,651",817,57,5,0,"4,530"
Burlington,-,"Chittenden 3-6",477,125,9,4,0,615
Cabot,,,674,54,13,0,0,741
Calais,,,888,68,15,0,0,971
Cambridge,,,"1,613",132,28,1,0,"1,774"
Canaan,,,395,26,12,0,0,433
Castleton,,,"1,631",101,49,5,0,"1,786"
Cavendish,,,592,43,23,2,0,660
Charleston,,,404,25,10,1,0,440
Charlotte,,,"2,034",159,28,0,0,"2,221"
Chelsea,,,586,37,18,0,0,641
Chester,,,"1,449",111,37,0,0,"1,597"
Chittenden,,,655,23,14,1,0,693
Clarendon,,,"1,146",63,33,8,0,"1,250"
Colchester,-,"Chittenden 7-1","3,088",244,37,6,0,"3,375"
Colchester,-,"Chittenden 7-2","3,615",260,35,8,0,"3,918"
Concord,,,458,33,15,0,0,506
Corinth,,,561,48,27,1,0,637
Cornwall,,,636,35,6,0,0,677
Coventry,,,433,24,9,0,0,466
Craftsbury,,,586,62,5,0,0,653
Danby,,,601,74,14,1,0,690
