City/Town,Ward,Pct,"Deb Markowitz","Eugene J. Bifano","Marjorie Power","Leslie Marmorale",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,"Liberty Union"
Addison,,,462,258,19,6,0,0,745
Albany,,,319,111,26,5,0,0,461
Alburgh,,,634,255,36,14,0,0,939
Andover,,,174,89,13,5,0,0,281
Arlington,,,873,357,55,19,0,0,"1,304"
Athens,,,92,38,9,4,0,0,143
Bakersfield,,,435,129,27,13,0,0,604
Baltimore,,,69,39,6,2,1,0,117
Barnard,,,350,124,23,7,0,0,504
Barnet,,,561,281,46,15,0,0,903
"Barre City",-,"Washington 3-1","1,231",444,79,23,1,0,"1,778"
"Barre City",-,"Washington 3-2","1,051",332,83,19,0,0,"1,485"
"Barre City",-,"Washington 3-3",202,72,14,7,0,0,295
"Barre Town",,,"2,845",218,136,27,3,0,"3,229"
Barton,,,848,283,49,19,0,0,"1,199"
Belvidere,,,94,47,3,5,0,0,149
Bennington,-,"Bennington 2-1","2,301",629,128,49,0,0,"3,107"
Bennington,-,"Bennington 2-2","2,214",693,137,54,1,0,"3,099"
Bennington,-,"Bennington 5",29,25,7,0,0,0,61
Benson,,,328,126,29,20,0,0,503
Berkshire,,,416,189,26,4,0,0,635
Berlin,,,951,308,49,8,0,0,"1,316"
Bethel,,,692,215,38,13,0,0,958
Bloomfield,,,58,35,7,0,0,0,100
Bolton,,,453,116,28,8,0,0,605
Bradford,,,798,344,35,33,0,0,"1,210"
Braintree,,,415,153,31,2,0,0,601
Brandon,,,"1,400",451,63,24,0,0,"1,938"
Brattleboro,-,"Windham 3-1","1,692",366,121,20,2,0,"2,201"
Brattleboro,-,"Windham 3-2","1,434",228,115,33,2,0,"1,812"
Brattleboro,-,"Windham 3-3","1,390",180,158,37,1,0,"1,766"
Bridgewater,,,313,151,18,9,1,0,492
Bridport,,,429,205,16,8,1,0,659
Brighton,,,361,167,35,12,0,0,575
Bristol,,,"1,418",431,79,20,0,0,"1,948"
Brookfield,,,477,192,19,11,0,0,699
Brookline,,,190,64,8,5,0,0,267
Brownington,,,247,106,25,7,0,0,385
Brunswick,,,39,10,4,1,0,0,54
Burke,,,489,235,29,9,0,0,762
Burlington,-,"Chittenden 3-1","2,896",702,134,33,8,0,"3,773"
Burlington,-,"Chittenden 3-2","1,586",358,153,19,0,0,"2,116"
Burlington,-,"Chittenden 3-3","2,930",292,491,70,10,0,"3,793"
Burlington,-,"Chittenden 3-4","2,626",322,543,38,19,0,"3,548"
Burlington,-,"Chittenden 3-5","3,722",510,354,40,3,0,"4,629"
Burlington,-,"Chittenden 3-6",512,55,55,7,1,0,630
Cabot,,,524,171,44,12,0,0,751
Calais,,,766,141,74,5,0,0,986
Cambridge,,,"1,304",379,81,18,2,0,"1,784"
Canaan,,,267,137,16,9,0,0,429
Castleton,,,"1,184",518,80,23,3,0,"1,808"
Cavendish,,,441,188,28,10,0,0,667
Charleston,,,303,108,24,9,1,0,445
Charlotte,,,"1,690",494,91,19,1,0,"2,295"
Chelsea,,,421,189,29,16,0,0,655
Chester,,,"1,149",378,76,29,0,0,"1,632"
Chittenden,,,448,224,20,8,0,0,700
Clarendon,,,798,403,46,21,0,0,"1,268"
Colchester,-,"Chittenden 7-1","2,512",788,121,20,3,0,"3,444"
Colchester,-,"Chittenden 7-2","2,817","1,001",127,33,6,0,"3,984"
Concord,,,304,156,32,15,0,0,507
Corinth,,,416,175,41,17,3,0,652
Cornwall,,,543,137,20,3,0,0,703
Coventry,,,334,104,19,8,0,0,465
Craftsbury,,,513,101,48,5,0,0,667
Danby,,,439,198,60,8,0,0,705
Danville,,,844,384,53,12,1,0,"1,294"
Derby,,,"1,535",543,85,32,0,0,"2,195"
Dorset,,,738,389,48,14,0,0,"1,189"
Dover,,,409,262,19,17,0,0,707
Dummerston,,,860,186,43,18,1,0,"1,108"
Duxbury,,,542,145,23,8,1,0,719
"E. Haven",,,74,51,14,4,0,0,143
"E. Montpelier",,,"1,224",298,68,11,1,0,"1,602"
Eden,,,344,96,15,15,0,0,470
Elmore,,,380,79,14,11,1,0,485
Enosburgh,,,805,271,74,13,1,0,"1,164"
Essex,-,"Chittenden 6-1","2,872","1,130",106,29,6,0,"4,143"
