City/Town,Ward,Pct,"Cheryl Moomey",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,104,8,0,112
Albany,,,58,4,0,62
Alburgh,,,95,6,0,101
Andover,,,35,0,0,35
Arlington,,,115,1,0,116
Athens,,,11,0,0,11
Bakersfield,,,46,1,0,47
Baltimore,,,12,1,0,13
Barnard,,,44,1,0,45
Barnet,,,96,2,0,98
"Barre City",-,"Washington 3-1",212,18,0,230
"Barre City",-,"Washington 3-2",163,19,0,182
"Barre City",-,"Washington 3-3",22,6,0,28
"Barre Town",,,525,78,0,603
Barton,,,121,31,0,152
Belvidere,,,22,2,0,24
Bennington,-,"Bennington 2-1",159,8,0,167
Bennington,-,"Bennington 2-1 Nb",29,2,0,31
Bennington,-,"Bennington 2-2",187,4,0,191
Bennington,-,"Bennington 5",11,0,0,11
Benson,,,34,2,0,36
Berkshire,,,45,2,0,47
Berlin,,,118,8,0,126
Bethel,,,75,5,0,80
Bloomfield,,,8,0,0,8
Bolton,,,48,3,0,51
Bradford,,,123,14,0,137
Braintree,,,58,6,0,64
Brandon,,,218,5,0,223
Brattleboro,-,"Windham 3-1",72,8,0,80
Brattleboro,-,"Windham 3-2",48,4,0,52
Brattleboro,-,"Windham 3-3",48,3,0,51
Bridgewater,,,50,6,0,56
Bridport,,,110,6,0,116
Brighton,,,87,11,0,98
Bristol,,,176,7,0,183
Brookfield,,,65,5,0,70
Brookline,,,18,1,0,19
Brownington,,,30,1,0,31
Brunswick,,,7,0,0,7
Burke,,,70,5,0,75
Burlington,-,"Chittenden 3-1",360,8,0,368
Burlington,-,"Chittenden 3-2",158,10,0,168
Burlington,-,"Chittenden 3-3",96,5,0,101
Burlington,-,"Chittenden 3-4",68,8,0,76
Burlington,-,"Chittenden 3-5",239,12,0,251
Burlington,-,"Chittenden 3-6",19,0,0,19
Cabot,,,36,2,0,38
Calais,,,58,4,0,62
Cambridge,,,118,10,0,128
Canaan,,,46,2,0,48
Castleton,,,136,7,0,143
Cavendish,,,65,2,0,67
Charleston,,,35,4,0,39
Charlotte,,,164,4,0,168
Chelsea,,,92,9,0,101
Chester,,,126,3,0,129
Chittenden,,,52,2,0,54
Clarendon,,,102,3,0,105
Colchester,-,"Chittenden 7-1",225,1,0,226
Colchester,-,"Chittenden 7-2",380,7,0,387
Concord,,,40,3,0,43
Corinth,,,57,2,0,59
Cornwall,,,55,4,0,59
Coventry,,,53,4,0,57
Craftsbury,,,49,9,0,58
Danby,,,131,11,0,142
Danville,,,147,7,0,154
Derby,,,166,31,0,197
Dorset,,,108,0,0,108
Dover,,,58,2,0,60
Dummerston,,,40,4,0,44
Duxbury,,,57,4,0,61
"E. Haven",,,36,1,0,37
"E. Montpelier",,,150,5,0,155
Eden,,,49,5,0,54
Elmore,,,19,6,0,25
Enosburgh,,,71,3,0,74
Essex,-,"Chittenden 6-1",383,3,0,386
Essex,-,"Chittenden 6-2",403,8,0,411
Essex,-,"Chittenden 6-3",107,1,0,108
"Fair Haven",,,78,1,0,79
Fairfax,,,141,9,0,150
Fairfield,,,34,7,0,41
Fairlee,,,39,2,0,41
Fayston,,,37,1,0,38
Ferrisburgh,,,206,4,0,210
Fletcher,,,37,1,0,38
Franklin,,,74,1,0,75
Georgia,,,189,6,0,195
Glover,,,48,15,0,63
Goshen,,,17,3,0,20
Grafton,,,27,1,0,28
Granby,,,14,0,0,14
"Grand Isle",,,123,24,0,147
Granville,,,11,0,0,11
Greensboro,,,42,2,0,44
Groton,,,59,9,0,68
Guildhall,,,26,0,0,26
Guilford,,,40,1,0,41
Halifax,,,22,1,0,23
Hancock,,,10,4,0,14
