City/Town,Ward,Pct,"Peter Welch","Craig Barclay Hill",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,33,5,0,0,38
Albany,,,20,5,0,0,25
Alburgh,,,37,5,0,0,42
Andover,,,19,3,0,0,22
Arlington,,,72,9,0,0,81
Athens,,,7,6,0,0,13
Bakersfield,,,35,3,0,0,38
Baltimore,,,15,1,0,0,16
Barnard,,,31,3,0,0,34
Barnet,,,34,9,0,0,43
"Barre City",-,"Washington 3-1",72,7,0,0,79
"Barre City",-,"Washington 3-2",43,9,0,0,52
"Barre City",-,"Washington 3-3",13,1,0,0,14
"Barre Town",,,136,18,1,0,155
Barton,,,44,12,0,0,56
Belvidere,,,6,2,0,0,8
Bennington,-,"Bennington 2-1",130,34,0,0,164
Bennington,-,"Bennington 2-2",99,26,0,0,125
Bennington,-,"Bennington 5",3,0,0,0,3
Benson,,,25,3,0,0,28
Berkshire,,,39,3,0,0,42
Berlin,,,58,9,0,0,67
Bethel,,,73,11,0,0,84
Bloomfield,,,14,0,0,0,14
Bolton,,,50,11,0,0,61
Bradford,,,73,5,0,0,78
Braintree,,,32,3,0,0,35
Brandon,,,82,14,0,0,96
Brattleboro,-,"Windham 3-1",127,21,0,0,148
Brattleboro,-,"Windham 3-2",138,18,2,0,158
Brattleboro,-,"Windham 3-3",122,16,4,0,142
Bridgewater,,,24,3,0,0,27
Bridport,,,26,5,0,0,31
Brighton,,,8,5,0,0,13
Bristol,,,84,13,0,0,97
Brookfield,,,30,6,36,0,72
Brookline,,,19,1,0,0,20
Brownington,,,7,2,0,0,9
Brunswick,,,2,0,0,0,2
Burke,,,24,1,0,0,25
Burlington,-,"Chittenden 3-1",427,42,0,0,469
Burlington,-,"Chittenden 3-2",209,24,2,0,235
Burlington,-,"Chittenden 3-3",270,46,2,0,318
Burlington,-,"Chittenden 3-4",208,21,1,0,230
Burlington,-,"Chittenden 3-5",879,67,3,0,949
Burlington,-,"Chittenden 3-6",60,1,0,0,61
Cabot,,,53,10,0,0,63
Calais,,,70,18,0,0,88
Cambridge,,,50,6,0,0,56
Canaan,,,11,2,0,0,13
Castleton,,,36,7,1,0,44
Cavendish,,,36,10,0,0,46
Charleston,,,19,1,1,0,21
Charlotte,,,132,11,0,0,143
Chelsea,,,27,6,0,0,33
Chester,,,145,16,0,0,161
Chittenden,,,35,2,0,0,37
Clarendon,,,89,21,0,0,110
