City/Town,Ward,Pct,"Beth Pearce","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Progressive,"Liberty Union"
Addison,,,605,71,31,0,81,788
Albany,,,353,48,27,0,30,459
Alburgh,,,662,113,44,0,87,906
Andover,,,234,40,20,1,39,335
Arlington,,,960,127,77,0,127,"1,292"
Athens,,,112,22,16,0,17,167
Bakersfield,,,436,86,27,1,55,605
Baltimore,,,105,8,8,0,8,129
Barnard,,,374,49,70,1,82,576
Barnet,,,735,101,42,4,90,973
"Barre City",,,"2,710",236,106,7,231,"3,290"
"Barre Town",,,"3,662",213,89,9,312,"4,290"
Barton,,,823,110,41,1,115,"1,090"
Belvidere,,,110,21,8,1,22,162
Bennington,-,"Bennington 2-1","2,157",421,123,8,413,"3,122"
Bennington,-,"Bennington 2-2","2,107",413,132,7,390,"3,049"
Benson,,,361,69,27,2,53,512
Berkshire,,,495,59,21,1,42,618
Berlin,,,"1,113",109,39,1,126,"1,388"
Bethel,,,737,119,50,6,109,"1,021"
Bloomfield,,,80,14,8,1,9,112
Bolton,,,506,94,21,0,61,683
Bradford,,,894,145,51,3,128,"1,221"
Braintree,,,467,57,22,1,58,605
Brandon,,,"1,466",175,73,1,188,"1,904"
Brattleboro,-,"Windham 2-1","1,503",316,70,0,279,"2,168"
Brattleboro,-,"Windham 2-2","1,245",343,77,1,219,"1,885"
Brattleboro,-,"Windham 2-3","1,263",346,91,1,251,"1,952"
Bridgewater,,,319,53,101,0,53,526
Bridport,,,502,50,38,1,72,663
Brighton,,,398,61,37,3,64,563
Bristol,,,"1,435",270,79,7,160,"1,952"
Brookfield,,,569,85,44,1,64,764
Brookline,,,196,43,11,0,45,296
Brownington,,,299,41,11,0,49,400
Brunswick,,,44,3,2,0,9,58
Burke,,,632,73,42,2,84,833
Burlington,-,"Chittenden 6-1","3,193",713,119,18,457,"4,501"
Burlington,-,"Chittenden 6-2","1,485",540,62,5,224,"2,316"
Burlington,-,"Chittenden 6-3","1,931","1,104",132,18,476,"3,662"
Burlington,-,"Chittenden 6-4","1,426",622,41,2,337,"2,431"
Burlington,-,"Chittenden 6-5","3,282",987,120,11,570,"4,970"
Burlington,-,"Chittenden 6-6",689,234,26,4,172,"1,125"
Burlington,-,"Chittenden 6-7",64,41,5,1,14,125
Cabot,,,574,104,29,0,92,799
Calais,,,757,132,40,1,101,"1,033"
Cambridge,,,"1,472",234,75,8,164,"1,953"
Canaan,,,301,44,21,1,68,436
Castleton,,,"1,311",187,93,4,204,"1,801"
Cavendish,,,483,72,51,2,95,703
Charleston,,,332,51,35,2,50,471
