City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,3,0,0,3
Albany,,,10,1,0,11
Alburgh,,,1,1,0,2
Andover,,,4,0,0,4
Arlington,,,7,0,0,7
Athens,,,1,0,0,1
Bakersfield,,,0,4,0,4
Baltimore,,,2,0,0,2
Barnard,,,2,0,0,2
Barnet,,,5,2,0,7
"Barre City",-,"Washington 3-1",3,8,0,11
"Barre City",-,"Washington 3-2",1,3,0,4
"Barre City",-,"Washington 3-3",0,0,0,0
"Barre Town",,,47,14,0,61
Barton,-,"Barton Memorial",35,2,0,37
Barton,-,"Orleans Memorial",33,1,0,34
Bennington,-,"Bennington 2-1",5,0,0,5
Bennington,-,"Bennington 2-1 Nb",1,0,0,1
Bennington,-,"Bennington 2-2",1,2,0,3
Bennington,-,"Bennington 5",0,0,0,0
Benson,,,1,0,0,1
Berkshire,,,3,0,0,3
Berlin,,,5,3,0,8
Bethel,,,6,1,0,7
Bloomfield,,,1,0,0,1
Bolton,,,3,0,0,3
Bradford,,,20,2,0,22
Braintree,,,3,0,0,3
Brandon,,,4,5,0,9
Brattleboro,-,"Windham 3-1",4,3,0,7
Brattleboro,-,"Windham 3-2",3,0,0,3
Brattleboro,-,"Windham 3-3",1,1,0,2
Bridgewater,,,4,1,0,5
Bridport,,,3,4,0,7
Brighton,,,8,2,0,10
Bristol,,,9,2,0,11
Brookfield,,,2,1,0,3
Brookline,,,4,0,0,4
Brownington,,,3,0,0,3
Brunswick,,,1,0,0,1
Burke,,,3,0,0,3
Burlington,-,"Chittenden 3-1",5,2,0,7
Burlington,-,"Chittenden 3-2",5,4,0,9
Burlington,-,"Chittenden 3-3",2,1,0,3
Burlington,-,"Chittenden 3-4",0,0,0,0
Burlington,-,"Chittenden 3-5",1,0,0,1
Burlington,-,"Chittenden 3-6",0,0,0,0
Cabot,,,0,1,0,1
Calais,,,1,1,0,2
Cambridge,,,6,0,0,6
Canaan,,,2,3,0,5
Castleton,,,1,1,0,2
Cavendish,,,4,3,0,7
Charleston,,,4,1,0,5
Charlotte,,,3,2,0,5
Chelsea,,,4,0,0,4
Chester,,,1,2,0,3
Chittenden,,,1,0,0,1
Clarendon,,,3,3,0,6
Colchester,-,"Chittenden 7-1",0,0,0,0
Colchester,-,"Chittenden 7-2",1,0,0,1
Concord,,,1,1,0,2
Corinth,,,2,2,0,4
Cornwall,,,3,1,0,4
Coventry,,,10,0,0,10
Craftsbury,,,9,0,0,9
Danby,,,6,1,0,7
Danville,,,1,2,0,3
