City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,49,0,0,49
Albany,,,95,1,0,96
Alburgh,,,44,0,0,44
Andover,,,25,0,0,25
Arlington,,,81,1,0,82
Athens,,,11,1,0,12
Bakersfield,,,24,0,0,24
Baltimore,,,7,1,0,8
Barnard,,,22,0,0,22
Barnet,,,50,0,0,50
"Barre City",-,"Washington 3-1",91,0,0,91
"Barre City",-,"Washington 3-2",58,0,0,58
"Barre City",-,"Washington 3-3",6,0,0,6
"Barre Town",,,715,11,0,726
Barton,-,"Barton Memorial",91,5,0,96
Barton,-,"Orleans Memorial",129,8,0,137
Belvidere,,,17,0,0,17
Bennington,-,"Bennington 2-1",67,0,0,67
Bennington,-,"Bennington 2-1 Nb",6,1,0,7
Bennington,-,"Bennington 2-2",45,2,0,47
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,25,0,0,25
Berkshire,,,23,0,0,23
Berlin,,,62,1,0,63
Bethel,,,60,2,0,62
Bloomfield,,,9,0,0,9
Bolton,,,19,0,0,19
Bradford,,,98,1,0,99
Braintree,,,31,0,0,31
Brandon,,,133,1,0,134
Brattleboro,-,"Windham 3-1",86,0,0,86
Brattleboro,-,"Windham 3-2",57,4,0,61
Brattleboro,-,"Windham 3-3",33,1,0,34
Bridgewater,,,37,0,0,37
Bridport,,,66,0,0,66
Brighton,,,49,0,0,49
Bristol,,,127,0,0,127
Brookfield,,,25,1,0,26
Brookline,,,19,2,0,21
Brownington,,,23,0,0,23
Brunswick,,,8,0,0,8
Burke,,,33,0,0,33
Burlington,-,"Chittenden 3-1",207,7,0,214
Burlington,-,"Chittenden 3-2",79,3,0,82
Burlington,-,"Chittenden 3-3",56,1,0,57
Burlington,-,"Chittenden 3-4",44,1,0,45
Burlington,-,"Chittenden 3-5",101,2,0,103
Burlington,-,"Chittenden 3-6",8,0,0,8
Cabot,,,13,1,0,14
Calais,,,26,0,0,26
Cambridge,,,55,4,0,59
Canaan,,,33,2,0,35
Castleton,,,70,1,0,71
Cavendish,,,38,1,0,39
