City/Town,Ward,Pct,"Virginia Lyons","Sally Fox","Diane B. Snelling","Tim Ashe","Hinda Miller","Philip Baruth","Andy Montroll","Charlie Smith","Mike Branon","Dennis B. Bedard","Annette Roque Renaud","Shelley Palmer","Mikey Van Gulden","Steve Laible","Richard Jeroloman","Larkin Forney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Democratic/Progressive,Democratic,Democratic,Democratic,Republican,Republican,Republican,Republican,Republican,Independent,Independent,Independent,"Justice for Vermonters"
Bolton,,,264,252,245,238,246,222,210,178,164,171,142,147,35,36,21,21,0,0,"2,592"
Burlington,-,"Chittenden 3-1","1,520","1,483","1,357","1,487","1,447","1,488","1,639","1,157",843,767,634,626,213,90,128,75,0,0,"14,954"
Burlington,-,"Chittenden 3-2",903,851,722,951,830,863,922,597,433,393,332,348,122,69,58,36,0,0,"8,430"
Burlington,-,"Chittenden 3-3","1,438","1,417",526,"1,686","1,347","1,511","1,410",318,237,225,198,187,276,143,198,105,0,0,"11,222"
Burlington,-,"Chittenden 3-4","1,119","1,124",432,"1,373","1,068","1,222","1,137",312,202,189,149,174,190,117,116,91,0,0,"9,015"
Burlington,-,"Chittenden 3-5","2,193","2,204","1,207","2,234","2,036","2,165","2,249","1,004",562,515,441,438,231,137,137,72,0,0,"17,825"
Burlington,-,"Chittenden 3-6",274,262,119,296,249,272,267,65,54,57,51,38,37,28,36,15,0,0,"2,120"
Charlotte,,,"1,072",980,987,898,"1,013",967,794,692,600,562,480,512,110,73,53,36,0,0,"9,829"
Essex,-,"Chittenden 6-1","1,504","1,631","1,900","1,217","1,253","1,188","1,069","1,458","1,367","1,251","1,404","1,134",179,123,102,97,0,0,"16,877"
Essex,-,"Chittenden 6-2","1,720","1,752","2,118","1,523","1,493","1,444","1,315","1,584","1,519","1,398","1,583","1,277",221,163,125,94,0,0,"19,329"
Essex,-,"Chittenden 6-3",546,586,639,425,470,462,400,495,459,406,478,391,49,21,16,28,0,0,"5,871"
Hinesburg,-,"Chittenden 1-1","1,036",912,"1,024",871,890,863,728,588,555,549,453,520,135,81,56,52,0,0,"9,313"
Hinesburg,-,"Chittenden 1-2",60,41,53,46,51,51,37,29,23,22,17,21,5,3,4,3,0,0,466
Huntington,,,569,494,439,504,471,502,430,270,252,229,184,215,77,45,39,34,0,0,"4,754"
Jericho,,,"1,298","1,243","1,277","1,098","1,122","1,137","1,025",960,935,824,869,777,166,117,98,55,0,0,"13,001"
Milton,-,"Chittenden 9","1,246","1,050","1,854",949,"1,010",901,848,"1,390","1,466","1,316","1,161","1,173",181,147,104,292,0,0,"15,088"
Milton,-,"Grand Isle-Chittenden 1-1",195,159,315,143,155,135,126,246,261,227,204,202,37,18,16,52,0,0,"2,491"
Richmond,,,"1,188","1,050",963,"1,008",966,"1,019",839,611,559,585,492,506,138,80,67,60,0,0,"10,131"
Shelburne,-,"Chittenden 5-1","1,147","1,081","1,082",943,"1,038","1,025",891,766,592,565,483,504,105,60,42,38,0,0,"10,362"
Shelburne,-,"Chittenden 5-2",829,740,"1,007",650,780,749,626,740,659,619,515,539,70,54,47,29,0,0,"8,653"
"S. Burlington",-,"Chittenden 3-10",862,924,705,816,837,795,744,514,512,480,374,371,96,117,58,39,0,0,"8,244"
"S. Burlington",-,"Chittenden 3-7",899,954,819,770,870,855,754,659,545,521,409,396,79,117,37,17,0,0,"8,701"
"S. Burlington",-,"Chittenden 3-8","1,184","1,234","1,346",978,"1,157","1,023",941,"1,116","1,048",969,748,701,116,192,53,35,0,0,"12,841"
"S. Burlington",-,"Chittenden 3-9",750,809,805,649,659,611,595,579,632,614,473,473,115,153,47,38,0,0,"8,002"
"St. George",,,143,117,127,109,117,104,91,81,83,76,72,76,19,7,9,5,0,0,"1,236"
Underhill,,,832,792,741,699,755,728,676,562,540,502,475,447,108,72,49,48,0,0,"8,026"
Westford,,,480,460,512,450,405,420,378,333,356,307,318,288,80,56,47,46,0,0,"4,936"
Williston,,,"2,329","1,857","2,306","1,689","1,734","1,550","1,462","1,703","1,581","1,462","1,336","1,493",231,139,104,95,0,0,"21,071"
Winooski,,,"1,007",991,743,958,924,909,865,492,494,466,441,395,148,93,69,77,0,0,"9,072"
TOTALS,,,"28,607","27,450","26,370","25,658","25,393","25,181","23,468","19,499","17,533","16,267","14,916","14,369","3,569","2,551","1,936","1,685",0,0,"274,452"
