City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bakersfield,,,1,0,0,1
"Barre City",-,"Washington 3-1",3,0,0,3
"Barre City",-,"Washington 3-2",2,0,0,2
"Barre City",-,"Washington 3-3",2,0,0,2
"Barre Town",,,2,0,0,2
Barton,,,2,0,0,2
Bennington,-,"Bennington 2-1",3,0,0,3
Bennington,-,"Bennington 2-1 Nb",2,0,0,2
Bennington,-,"Bennington 2-2",0,0,0,0
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,2,0,0,2
Berlin,,,1,0,0,1
Bethel,,,1,0,0,1
Bradford,,,1,0,0,1
Braintree,,,1,0,0,1
Brattleboro,-,"Windham 3-1",3,0,0,3
Brattleboro,-,"Windham 3-2",1,0,0,1
Brattleboro,-,"Windham 3-3",6,0,0,6
Bridgewater,,,1,0,0,1
Bridport,,,1,0,0,1
Bristol,,,2,0,0,2
Brookfield,,,2,0,0,2
Brookline,,,1,0,0,1
Brownington,,,1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 4",1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 7",0,0,0,0
Burlington,-,"Chittenden 3-2 Ward 2",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 3",0,0,0,0
Burlington,-,"Chittenden 3-2 Ward 4",0,0,0,0
Burlington,-,"Chittenden 3-2 Ward 7",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 2",0,0,0,0
Burlington,-,"Chittenden 3-3 Ward 3",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 5",0,0,0,0
Burlington,-,"Chittenden 3-3 Ward 6",0,0,0,0
Burlington,-,"Chittenden 3-3 Ward 7",1,0,0,1
Burlington,-,"Chittenden 3-4 Ward 1",1,0,0,1
Burlington,-,"Chittenden 3-4 Ward 2",2,0,0,2
Burlington,-,"Chittenden 3-4 Ward 6",0,0,0,0
Burlington,-,"Chittenden 3-5 Ward 5",1,0,0,1
Burlington,-,"Chittenden 3-5 Ward 6",2,0,0,2
Burlington,-,"Chittenden 3-6 Ward 1",0,0,0,0
Cabot,,,2,0,0,2
Calais,,,2,0,0,2
Canaan,,,1,0,0,1
Castleton,,,1,0,0,1
Cavendish,,,1,0,0,1
Charleston,,,1,0,0,1
Charlotte,,,3,0,0,3
Chelsea,,,1,0,0,1
Craftsbury,,,2,0,0,2
Derby,,,1,0,0,1
"E. Montpelier",,,3,0,0,3
Eden,,,3,0,0,3
Essex,-,"Chittenden 6-1",0,0,0,0
Essex,-,"Chittenden 6-2",1,0,0,1
Essex,-,"Chittenden 6-3",0,0,0,0
Fairfax,,,1,0,0,1
Fairfield,,,2,0,0,2
Glover,,,1,0,0,1
Grafton,,,2,0,0,2
Greensboro,,,2,0,0,2
Groton,,,2,0,0,2
Guilford,,,4,0,0,4
Halifax,,,1,0,0,1
Hardwick,,,2,0,0,2
Hartford,-,"Windsor 6-1",0,0,0,0
Hartford,-,"Windsor 6-2",3,0,0,3
Highgate,,,1,0,0,1
"Hyde Park",,,4,0,0,4
Irasburg,,,2,0,0,2
"Isle La Motte",,,1,0,0,1
Jamaica,,,5,0,0,5
Johnson,,,1,0,0,1
Lincoln,,,1,0,0,1
Marlboro,,,7,0,0,7
Marshfield,,,3,0,0,3
Middlebury,,,4,0,0,4
Middlesex,,,4,0,0,4
"Middletown Springs",,,2,0,0,2
Milton,-,"Chittenden 9",1,0,0,1
Milton,-,"Chittenden Gi-Ch 1-1",0,0,0,0
Montpelier,,,13,0,0,13
Moretown,,,1,0,0,1
Morristown,,,4,0,0,4
"Mount Holly",,,1,0,0,1
"New Haven",,,1,0,0,1
Newbury,-,"Center Town House",0,0,0,0
