City/Town,Ward,Pct,"Beth Pearce","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Progressive,"Liberty Union"
Addison,,,320,100,55,0,0,475
Albany,,,197,56,37,0,0,290
Alburgh,,,391,100,49,0,0,540
Andover,,,124,30,18,0,0,172
Arlington,,,511,124,71,0,0,706
Athens,,,54,16,14,0,0,84
Bakersfield,,,212,84,22,0,0,318
Baltimore,,,40,13,8,0,0,61
Barnard,,,214,64,72,0,0,350
Barnet,,,391,85,56,0,0,532
"Barre City",,,"1,595",220,125,0,0,"1,940"
"Barre Town",,,"2,101",307,163,0,0,"2,571"
Barton,,,428,89,47,0,0,564
Belvidere,,,50,24,8,0,0,82
Bennington,-,"Bennington 2-1","1,311",263,110,0,0,"1,684"
Bennington,-,"Bennington 2-2","1,193",268,94,0,0,"1,555"
Benson,,,146,46,28,0,0,220
Berkshire,,,240,85,25,0,0,350
Berlin,,,633,74,49,0,0,756
Bethel,,,413,77,64,0,0,554
Bloomfield,,,35,12,8,0,0,55
Bolton,,,273,73,35,0,0,381
Bradford,,,397,85,67,0,0,549
Braintree,,,243,62,38,0,0,343
Brandon,,,853,174,99,0,0,"1,126"
Brattleboro,-,"Windham 2-1",810,134,39,0,0,983
Brattleboro,-,"Windham 2-2",663,122,53,0,0,838
Brattleboro,-,"Windham 2-3",728,146,52,0,0,926
Bridgewater,,,160,35,59,0,0,254
Bridport,,,261,65,40,0,0,366
Brighton,,,196,63,34,0,0,293
Bristol,,,969,278,100,0,0,"1,347"
Brookfield,,,328,57,41,0,0,426
Brookline,,,109,34,10,0,0,153
Brownington,,,200,57,41,0,0,298
Brunswick,,,25,4,0,0,0,29
Burke,,,264,80,51,0,0,395
Burlington,-,"Chittenden 6-1","1,852",430,108,0,0,"2,390"
Burlington,-,"Chittenden 6-2",936,291,46,0,0,"1,273"
Burlington,-,"Chittenden 6-3",822,438,57,0,0,"1,317"
Burlington,-,"Chittenden 6-4",697,252,25,0,0,974
Burlington,-,"Chittenden 6-5","1,797",460,62,0,0,"2,319"
Burlington,-,"Chittenden 6-6",252,60,13,0,0,325
Burlington,-,"Chittenden 6-7",16,18,1,0,0,35
Cabot,,,294,80,31,0,0,405
Calais,,,523,109,26,0,0,658
Cambridge,,,734,187,66,0,0,987
Canaan,,,113,32,26,0,0,171
Castleton,,,572,222,90,0,0,884
Cavendish,,,262,78,63,0,0,403
Charleston,,,154,50,34,0,0,238
Charlotte,,,974,179,72,0,0,"1,225"
Chelsea,,,284,78,39,0,0,401
Chester,,,560,129,72,0,0,761
Chittenden,,,335,81,42,0,0,458
Clarendon,,,442,135,77,0,0,654
Colchester,-,"Chittenden 9-1","1,219",301,93,0,0,"1,613"
Colchester,-,"Chittenden 9-2","1,628",423,160,0,0,"2,211"
Concord,,,161,51,33,0,0,245
Corinth,,,266,81,53,0,0,400
Cornwall,,,338,53,25,0,0,416
Coventry,,,213,54,12,0,0,279
Craftsbury,,,286,58,31,0,0,375
Danby,,,234,92,43,0,0,369
Danville,,,556,122,56,0,0,734
Derby,,,888,219,93,0,0,"1,200"
Dorset,,,512,118,67,0,0,697
Dover,,,278,80,40,0,0,398
Dummerston,,,521,68,34,0,0,623
Duxbury,,,353,74,24,0,0,451
"E. Haven",,,41,11,12,0,0,64
"E. Montpelier",,,802,114,45,0,0,961
Eden,,,156,54,25,0,0,235
Elmore,,,241,45,25,0,0,311
