county,town
Addison,ADDISON
Orleans,ALBANY
Grand Isle,ALBURGH
Windsor,ANDOVER
Bennington,ARLINGTON
Windham,ATHENS
Franklin,BAKERSFIELD
Windsor,BALTIMORE
Windsor,BARNARD
Caledonia,BARNET
Washington,BARRE CITY
Washington,BARRE TOWN
Orleans,BARTON
Lamoille,BELVIDERE
Bennington,BENNINGTON
Rutland,BENSON
Franklin,BERKSHIRE
Washington,BERLIN
Windsor,BETHEL
Essex,BLOOMFIELD
Chittenden,BOLTON
Orange,BRADFORD
Orange,BRAINTREE
Rutland,BRANDON
Windham,BRATTLEBORO
Windsor,BRIDGEWATER
Addison,BRIDPORT
Essex,BRIGHTON
Addison,BRISTOL
Orange,BROOKFIELD
Windham,BROOKLINE
Orleans,BROWNINGTON
Essex,BRUNSWICK
Caledonia,BURKE
Chittenden,BURLINGTON
Washington,CABOT
Washington,CALAIS
Lamoille,CAMBRIDGE
Essex,CANAAN
Rutland,CASTLETON
Windsor,CAVENDISH
Orleans,CHARLESTON
Chittenden,CHARLOTTE
Orange,CHELSEA
Windsor,CHESTER
Rutland,CHITTENDEN
Rutland,CLARENDON
Chittenden,COLCHESTER
Essex,CONCORD
Orange,CORINTH
Addison,CORNWALL
Orleans,COVENTRY
Orleans,CRAFTSBURY
Rutland,DANBY
Caledonia,DANVILLE
Orleans,DERBY
Bennington,DORSET
Windham,DOVER
Windham,DUMMERSTON
Washington,DUXBURY
Essex,EAST HAVEN
Washington,EAST MONTPELIER
Lamoille,EDEN
Lamoille,ELMORE
Franklin,ENOSBURGH
Chittenden,ESSEX
Rutland,FAIR HAVEN
Franklin,FAIRFAX
Franklin,FAIRFIELD
Orange,FAIRLEE
Washington,FAYSTON
Addison,FERRISBURGH
Franklin,FLETCHER
Franklin,FRANKLIN
Franklin,GEORGIA
Orleans,GLOVER
Addison,GOSHEN
Windham,GRAFTON
Essex,GRANBY
Grand Isle,GRAND ISLE
Addison,GRANVILLE
Orleans,GREENSBORO
Caledonia,GROTON
Essex,GUILDHALL
Windham,GUILFORD
Windham,HALIFAX
Addison,HANCOCK
Caledonia,HARDWICK
Windsor,HARTFORD
Windsor,HARTLAND
Franklin,HIGHGATE
Chittenden,HINESBURG
Orleans,HOLLAND
Rutland,HUBBARDTON
Chittenden,HUNTINGTON
Lamoille,HYDE PARK
Rutland,IRA
Orleans,IRASBURG
Grand Isle,ISLE LA MOTTE
Windham,JAMAICA
Orleans,JAY
Chittenden,JERICHO
Lamoille,JOHNSON
Rutland,KILLINGTON
Caledonia,KIRBY
Bennington,LANDGROVE
Addison,LEICESTER
Essex,LEMINGTON
Addison,LINCOLN
Windham,LONDONDERRY
Orleans,LOWELL
Windsor,LUDLOW
Essex,LUNENBURG
Caledonia,LYNDON
Essex,MAIDSTONE
Bennington,MANCHESTER
Windham,MARLBORO
Washington,MARSHFIELD
Rutland,MENDON
Addison,MIDDLEBURY
Washington,MIDDLESEX
Rutland,MIDDLETOWN SPRINGS
Chittenden,MILTON
Addison,MONKTON
Franklin,MONTGOMERY
Washington,MONTPELIER
Washington,MORETOWN
Orleans,MORGAN
Lamoille,MORRISTOWN
Rutland,MOUNT HOLLY
Rutland,MOUNT TABOR
Addison,NEW HAVEN
Caledonia,NEWARK
Orange,NEWBURY
Windham,NEWFANE
Orleans,NEWPORT CITY
Orleans,NEWPORT TOWN
Grand Isle,NORTH HERO
Washington,NORTHFIELD
Essex,NORTON
Windsor,NORWICH
Orange,ORANGE
Addison,ORWELL
Addison,PANTON
Rutland,PAWLET
Caledonia,PEACHAM
Bennington,PERU
Rutland,PITTSFIELD
Rutland,PITTSFORD
Washington,PLAINFIELD
Windsor,PLYMOUTH
Windsor,POMFRET
Rutland,POULTNEY
Bennington,POWNAL
Rutland,PROCTOR
Windham,PUTNEY
Orange,RANDOLPH
Windsor,READING
Bennington,READSBORO
Franklin,RICHFORD
Chittenden,RICHMOND
Addison,RIPTON
Windsor,ROCHESTER
Windham,ROCKINGHAM
Washington,ROXBURY
Windsor,ROYALTON
Bennington,RUPERT
Rutland,RUTLAND CITY
Rutland,RUTLAND TOWN
Caledonia,RYEGATE
Franklin,SAINT ALBANS CITY
Franklin,SAINT ALBANS TOWN
Chittenden,SAINT GEORGE
Caledonia,SAINT JOHNSBURY
Addison,SALISBURY
Bennington,SANDGATE
Bennington,SEARSBURG
Bennington,SHAFTSBURY
Windsor,SHARON
Caledonia,SHEFFIELD
Chittenden,SHELBURNE
Franklin,SHELDON
Addison,SHOREHAM
