City/Town,Ward,Pct,"Doug Hoffer","Edward Flanagan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,82,48,0,20,150
Albany,,,49,35,1,11,96
Alburgh,,,87,58,2,22,169
Andover,,,21,23,0,16,60
Arlington,,,62,99,2,43,206
Athens,,,10,11,0,6,27
Bakersfield,,,77,58,2,20,157
Baltimore,,,3,9,0,1,13
Barnard,,,42,68,2,44,156
Barnet,,,83,66,2,34,185
"Barre City",-,"Washington 3-1",234,88,4,93,419
"Barre City",-,"Washington 3-2",175,108,3,26,312
"Barre City",-,"Washington 3-3",40,15,1,5,61
"Barre Town",,,434,216,16,71,737
Barton,,,57,55,12,28,152
Belvidere,,,13,9,0,4,26
Bennington,-,"Bennington 2-1",260,372,5,302,939
Bennington,-,"Bennington 2-2",160,305,0,120,585
Benson,,,34,36,0,15,85
Berkshire,,,38,40,9,12,99
Berlin,,,185,96,5,35,321
Bethel,,,116,96,1,50,263
Bloomfield,,,7,6,2,3,18
Bolton,,,85,46,0,18,149
Bradford,,,94,142,4,85,325
Braintree,,,62,35,1,22,120
Brandon,,,151,169,4,55,379
Brattleboro,-,"Windham 3-1",249,277,3,230,759
Brattleboro,-,"Windham 3-2",189,263,9,149,610
Brattleboro,-,"Windham 3-3",214,226,5,188,633
Bridgewater,,,36,42,9,25,112
Bridport,,,80,45,3,0,128
Brighton,,,46,53,5,25,129
Bristol,,,221,118,25,62,426
Brookfield,,,105,50,2,32,189
Brookline,,,20,29,0,20,69
Brownington,,,26,24,1,9,60
Brunswick,,,5,12,1,5,23
Burke,,,40,45,1,33,119
Burlington,-,"Chittenden 3-1",791,279,2,89,"1,161"
Burlington,-,"Chittenden 3-2",493,148,2,54,697
Burlington,-,"Chittenden 3-3",571,220,6,136,933
Burlington,-,"Chittenden 3-4",449,144,6,115,714
Burlington,-,"Chittenden 3-5","1,251",317,6,174,"1,748"
Burlington,-,"Chittenden 3-6",119,51,5,21,196
Cabot,,,80,42,1,34,157
Calais,,,252,68,0,67,387
Cambridge,,,169,117,24,52,362
Canaan,,,15,45,4,11,75
Castleton,,,79,100,1,51,231
Cavendish,,,46,52,1,24,123
Charleston,,,39,28,4,10,81
Charlotte,,,484,210,10,92,796
Chelsea,,,69,53,1,27,150
Chester,,,141,160,0,77,378
Chittenden,,,55,64,0,33,152
Clarendon,,,67,81,2,25,175
Colchester,-,"Chittenden 7-1",427,183,0,83,693
Colchester,-,"Chittenden 7-2",517,205,2,86,810
Concord,,,30,27,14,12,83
Corinth,,,67,64,0,44,175
Cornwall,,,133,77,4,55,269
Coventry,,,33,30,3,17,83
Craftsbury,,,79,66,10,40,195
Danby,,,43,48,1,19,111
Danville,,,124,64,2,46,236
Derby,,,154,184,12,43,393
Dorset,,,64,92,2,81,239
Dover,,,38,54,1,42,135
Dummerston,,,141,176,3,130,450
Duxbury,,,142,33,6,46,227
"E. Haven",,,7,13,0,6,26
"E. Montpelier",,,338,121,4,79,542
Eden,,,32,22,8,8,70
Elmore,,,67,46,1,22,136
Enosburgh,,,88,83,24,34,229
Essex,-,"Chittenden 6-1",482,194,1,96,773
Essex,-,"Chittenden 6-2",575,225,5,96,901
Essex,-,"Chittenden 6-3",185,63,1,40,289
"Fair Haven",,,53,90,5,25,173
Fairfax,,,221,126,4,32,383
Fairfield,,,112,79,23,40,254
Fairlee,,,27,58,3,21,109
Fayston,,,72,45,0,53,170
Ferrisburgh,,,205,91,1,35,332
Fletcher,,,79,43,1,11,134
Franklin,,,52,49,16,8,125
Georgia,,,156,90,12,33,291
